host_neighbourhood,accommodates,bathrooms,bedrooms,price,review_scores_rating,square_feet,number_of_reviews,reviews_per_month
Oud-West,4,1,3,295,98,1776,37,3.083333333
Rivierenbuurt,4,1,2,275,96,624,58,4.833333333
Rivierenbuurt,2,1,1,76,95,0,217,18.08333333
De Pijp,2,1,1,95,,0,0,0
Rivierenbuurt,2,1,0,80,98,0,124,10.33333333
De Pijp,2,1.5,1,125,98,807,25,2.083333333
Grachtengordel,4,1,3,130,100,0,4,0.333333333
Oud-West,6,2,4,300,100,1884,1,0.083333333
Rivierenbuurt,2,1,1,84,94,0,317,26.41666667
Jordaan,4,2,2,190,97,0,12,1
Grachtengordel,2,1,0,105,100,0,72,6
Oud-West,4,1,2,175,98,1345,11,0.916666667
Oud-West,2,1,1,100,95,646,40,3.333333333
Oud-West,4,2,3,299,96,0,22,1.833333333
Oud-West,2,1,1,110,96,280,47,3.916666667
Oud-West,2,1,1,87,97,183,271,22.58333333
Grachtengordel,4,1,2,79,94,0,19,1.583333333
De Pijp,2,1,0,120,94,0,38,3.166666667
Jordaan,4,1,3,220,94,1722,14,1.166666667
Jordaan,2,1,1,110,100,753,4,0.333333333
Indische Buurt,3,1,1,100,87,592,19,1.583333333
Grachtengordel,2,1,0,85,96,269,378,31.5
Oud-West,4,2,4,175,96,1615,9,0.75
Jordaan,4,2,3,325,98,1023,17,1.416666667
Oud-West,2,1,1,95,96,570,73,6.083333333
Indische Buurt,4,1,2,140,100,1023,7,0.583333333
Oud-West,2,1,1,169,100,753,82,6.833333333
De Pijp,2,1.5,2,180,100,968,1,0.083333333
Oosterparkbuurt,4,1,2,350,94,915,18,1.5
Oud-West,3,1,2,109,95,861,39,3.25
Oud-West,2,1,1,75,94,161,156,13
Oud-West,2,1,0,135,98,377,51,4.25
Grachtengordel,2,1,2,120,97,0,30,2.5
Grachtengordel,2,1,1,100,100,0,12,1
Oosterparkbuurt,4,1,4,152,90,0,2,0.166666667
Oud-West,2,1,1,96,95,0,24,2
Grachtengordel,10,2.5,5,444,,0,0,0
